Actual_Peak,Predicted_Peak
626.3,464.7
878.8,525.3
505.1,464.7
636.4,464.7
474.8,596.0
464.7,454.6
474.8,464.7
596.0,495.0
454.6,515.2
737.4,464.7
878.8,464.7
444.5,525.3
444.5,555.6
707.1,454.6
434.40000000000003,464.7
515.2,565.7
808.1,474.8
464.7,464.7
767.7,474.8
444.5,464.7
434.40000000000003,535.4
606.1,565.7
444.5,555.6
414.2,505.1
545.5,555.6
737.4,555.6
434.40000000000003,545.5
596.0,505.1
757.6,545.5
636.4,505.1
798.0,454.6
484.9,454.6
596.0,495.0
747.5,505.1
606.1,495.0
767.7,495.0
484.9,495.0
636.4,495.0
808.1,505.1
464.7,495.0
535.4,495.0
505.1,
636.4,
636.4,
828.3,
444.5,
686.9,
414.2,
525.3,
686.9,
464.7,
636.4,
888.9,
484.9,
767.7,
464.7,
596.0,
798.0,
697.0,
474.8,
596.0,
464.7,
585.9,
474.8,
616.2,
484.9,
484.9,
656.6,
