Sample Index,Peak 1_actual,Peak 2_actual,Peak 3_actual,Peak 1_predicted,Peak 2_predicted,Peak 3_predicted
27,414.2,525.3,686.9,454.6,,
16,414.2,545.5,737.4,464.7,535.4,
9,434.40000000000003,,,555.6,,
17,434.40000000000003,596.0,757.6,565.7,,
13,434.40000000000003,,,474.8,,
15,444.5,,,474.8,,
26,444.5,686.9,,454.6,,
7,444.5,,,464.7,,
8,444.5,707.1,,464.7,525.3,
12,444.5,,,565.7,,
5,454.6,737.4,,495.0,,
28,464.7,636.4,888.9,495.0,,
23,464.7,535.4,,505.1,,
33,464.7,585.9,,495.0,,
30,464.7,596.0,798.0,495.0,,
11,464.7,767.7,,464.7,,
3,464.7,,,454.6,,
34,474.8,616.2,,505.1,,
4,474.8,596.0,,464.7,,
32,474.8,596.0,,495.0,,
2,474.8,,,464.7,596.0,
29,484.9,767.7,,505.1,,
35,484.9,,,495.0,,
19,484.9,596.0,747.5,505.1,,
21,484.9,636.4,,555.6,,
36,484.9,656.6,,495.0,,
24,505.1,636.4,,545.5,,
1,505.1,636.4,,464.7,,
10,515.2,808.1,,454.6,,
20,606.1,767.7,,555.6,,
14,606.1,,,464.7,,
0,626.3,878.8,,464.7,525.3,
25,636.4,828.3,,505.1,,
18,636.4,798.0,,555.6,,
31,697.0,,,495.0,,
22,808.1,,,545.5,,
6,878.8,,,515.2,,
