Sample Index,Peak 1,Peak 2,Peak 3
0,626.3,,
1,626.3,798.0,
2,434.40000000000003,,
3,495.0,,
4,585.9,717.2,
5,484.9,,
6,596.0,,
7,454.6,,
8,585.9,727.3,
9,474.8,636.4,
10,454.6,,
11,596.0,,
12,697.0,,
13,464.7,,
14,565.7,,
15,454.6,,
16,616.2,,
17,464.7,,
18,454.6,,
19,444.5,,
20,454.6,,
21,444.5,,
22,454.6,,
23,454.6,,
24,454.6,646.5,
25,444.5,525.3,676.8
26,454.6,636.4,
27,535.4,737.4,
28,484.9,636.4,
29,484.9,,
30,474.8,646.5,
31,454.6,,
32,454.6,,
33,575.8,,
34,585.9,818.2,
35,474.8,,
36,606.1,808.1,
37,565.7,767.7,
38,484.9,626.3,
39,484.9,606.1,
40,616.2,888.9,
41,767.7,,
42,626.3,858.6,
43,474.8,676.8,
44,454.6,626.3,808.1
45,454.6,,
46,484.9,,
47,474.8,616.2,767.7
48,454.6,,
49,606.1,888.9,
50,484.9,,
51,464.7,616.2,
52,636.4,888.9,
53,474.8,,
54,616.2,,
55,636.4,,
56,484.9,,
57,444.5,,
58,464.7,,
59,484.9,818.2,
60,474.8,,
61,454.6,686.9,
62,606.1,,
63,424.3,646.5,
64,686.9,,
65,525.3,,
66,414.2,686.9,
67,293.0,383.90000000000003,686.9
68,293.0,394.0,717.2
69,373.8,676.8,
70,666.7,,
71,444.5,525.3,
72,444.5,525.3,
73,434.40000000000003,525.3,
74,454.6,545.5,
75,464.7,,
76,464.7,,
77,464.7,,
78,454.6,585.9,
79,464.7,,
80,464.7,555.6,
81,464.7,555.6,
82,454.6,,
83,646.5,,
84,464.7,,
85,474.8,,
86,454.6,,
87,454.6,,
88,484.9,,
89,484.9,,
90,454.6,,
91,454.6,,
92,434.40000000000003,636.4,
93,444.5,596.0,
94,444.5,535.4,
95,444.5,585.9,
96,434.40000000000003,525.3,
97,444.5,555.6,
98,464.7,,
99,444.5,575.8,
