Actual_Peak,Predicted_Peak
626.3,474.8
626.3,484.9
798.0,454.6
434.40000000000003,616.2
495.0,474.8
585.9,484.9
717.2,495.0
484.9,474.8
596.0,454.6
454.6,616.2
585.9,484.9
727.3,484.9
474.8,464.7
636.4,626.3
454.6,474.8
596.0,484.9
697.0,474.8
464.7,474.8
565.7,464.7
454.6,616.2
616.2,484.9
464.7,474.8
454.6,474.8
444.5,474.8
454.6,474.8
444.5,474.8
454.6,474.8
454.6,464.7
454.6,626.3
646.5,484.9
444.5,474.8
525.3,484.9
676.8,474.8
454.6,484.9
636.4,474.8
535.4,484.9
737.4,474.8
484.9,474.8
636.4,474.8
484.9,484.9
474.8,484.9
646.5,474.8
454.6,626.3
454.6,495.0
575.8,474.8
585.9,484.9
818.2,484.9
474.8,565.7
606.1,495.0
808.1,484.9
565.7,636.4
767.7,474.8
484.9,495.0
626.3,474.8
484.9,646.5
606.1,474.8
616.2,636.4
888.9,484.9
767.7,474.8
626.3,646.5
858.6,484.9
474.8,646.5
676.8,495.0
454.6,484.9
626.3,474.8
808.1,636.4
454.6,505.1
484.9,626.3
474.8,505.1
616.2,656.6
767.7,505.1
454.6,646.5
606.1,505.1
888.9,626.3
484.9,505.1
464.7,646.5
616.2,505.1
636.4,626.3
888.9,515.2
474.8,656.6
616.2,505.1
636.4,626.3
484.9,505.1
444.5,626.3
464.7,505.1
484.9,656.6
818.2,505.1
474.8,676.8
454.6,505.1
686.9,646.5
606.1,505.1
424.3,626.3
646.5,505.1
686.9,666.7
525.3,515.2
414.2,515.2
686.9,505.1
293.0,656.6
383.90000000000003,495.0
686.9,626.3
293.0,474.8
394.0,474.8
717.2,474.8
373.8,495.0
676.8,596.0
666.7,464.7
444.5,464.7
525.3,464.7
444.5,505.1
525.3,596.0
434.40000000000003,474.8
525.3,474.8
454.6,474.8
545.5,474.8
464.7,495.0
464.7,666.7
464.7,474.8
454.6,495.0
585.9,636.4
464.7,464.7
464.7,464.7
555.6,484.9
464.7,495.0
555.6,606.1
454.6,495.0
646.5,666.7
464.7,484.9
474.8,626.3
454.6,464.7
454.6,464.7
484.9,464.7
484.9,464.7
454.6,464.7
454.6,464.7
434.40000000000003,495.0
636.4,656.6
444.5,495.0
596.0,606.1
444.5,
535.4,
444.5,
585.9,
434.40000000000003,
525.3,
444.5,
555.6,
464.7,
444.5,
575.8,
