Actual_Peak,Predicted_Peak
484.9,484.9
434.40000000000003,484.9
434.40000000000003,565.7
464.7,474.8
474.8,454.6
596.0,495.0
474.8,474.8
454.6,495.0
626.3,575.8
808.1,464.7
464.7,515.2
525.3,585.9
474.8,454.6
848.5,545.5
484.9,484.9
454.6,495.0
454.6,454.6
454.6,616.2
656.6,474.8
414.2,646.5
545.5,464.7
737.4,545.5
454.6,474.8
484.9,575.8
636.4,464.7
474.8,575.8
444.5,454.6
636.4,606.1
454.6,484.9
474.8,484.9
444.5,474.8
535.4,565.7
464.7,656.6
444.5,464.7
555.6,464.7
454.6,585.9
636.4,495.0
444.5,565.7
707.1,474.8
464.7,535.4
697.0,474.8
454.6,464.7
565.7,565.7
646.5,474.8
484.9,636.4
606.1,555.6
464.7,474.8
636.4,505.1
888.9,646.5
464.7,474.8
444.5,575.8
555.6,484.9
444.5,474.8
525.3,575.8
484.9,656.6
626.3,525.3
878.8,585.9
444.5,474.8
535.4,535.4
444.5,464.7
606.1,454.6
626.3,616.2
464.7,484.9
454.6,545.5
585.9,505.1
464.7,596.0
555.6,464.7
474.8,484.9
596.0,464.7
454.6,464.7
484.9,545.5
596.0,505.1
747.5,484.9
585.9,575.8
727.3,464.7
464.7,515.2
454.6,444.5
575.8,585.9
596.0,535.4
585.9,484.9
818.2,505.1
444.5,
878.8,
