Sample Index,Peak 1_actual,Peak 2_actual,Peak 3_actual,Peak 1_predicted,Peak 2_predicted,Peak 3_predicted
15,414.2,545.5,737.4,464.7,545.5,
1,434.40000000000003,,,484.9,565.7,
2,434.40000000000003,,,474.8,,
26,444.5,707.1,,474.8,535.4,
35,444.5,525.3,,474.8,575.8,656.6
34,444.5,555.6,,484.9,,
52,444.5,,,484.9,,
24,444.5,555.6,,464.7,585.9,
22,444.5,535.4,,474.8,565.7,656.6
39,444.5,606.1,,454.6,616.2,
19,444.5,636.4,,454.6,606.1,
38,444.5,535.4,,464.7,,
42,454.6,585.9,,464.7,,
28,454.6,565.7,,464.7,565.7,
25,454.6,636.4,,495.0,565.7,
20,454.6,,,484.9,,
49,454.6,575.8,,515.2,,
11,454.6,,,484.9,,
13,454.6,,,454.6,616.2,
12,454.6,,,495.0,,
45,454.6,,,464.7,545.5,
6,454.6,626.3,808.1,495.0,575.8,
16,454.6,,,474.8,,
7,464.7,,,464.7,,
41,464.7,,,505.1,596.0,
3,464.7,,,454.6,,
33,464.7,,,474.8,575.8,
31,464.7,,,474.8,,
43,464.7,555.6,,484.9,,
27,464.7,697.0,,474.8,,
48,464.7,,,464.7,,
23,464.7,,,464.7,,
44,474.8,596.0,,464.7,,
21,474.8,,,484.9,,
5,474.8,,,474.8,,
4,474.8,596.0,,495.0,,
9,474.8,848.5,,454.6,,
18,474.8,,,464.7,575.8,
46,484.9,596.0,747.5,505.1,,
0,484.9,,,484.9,,
36,484.9,,,525.3,585.9,
30,484.9,606.1,,555.6,,
17,484.9,636.4,,575.8,,
10,484.9,,,545.5,,
8,525.3,,,515.2,585.9,
47,585.9,727.3,,484.9,575.8,
51,585.9,818.2,,535.4,,
50,596.0,,,444.5,585.9,
40,626.3,,,484.9,545.5,
37,626.3,878.8,,474.8,535.4,
32,636.4,888.9,,505.1,646.5,
29,646.5,,,474.8,636.4,
14,656.6,,,474.8,646.5,
53,878.8,,,505.1,,
