Sample Index,Peak 1,Peak 2,Peak 3
0,484.9,,
1,484.9,555.6,
2,474.8,,
3,464.7,,
4,495.0,,
5,464.7,,
6,495.0,575.8,
7,474.8,,
8,515.2,606.1,
9,464.7,,
10,555.6,,
11,484.9,,
12,474.8,,
13,464.7,616.2,
14,464.7,626.3,
15,484.9,,
16,464.7,,
17,495.0,555.6,
18,464.7,596.0,
19,464.7,626.3,
20,484.9,,
21,484.9,,
22,474.8,616.2,
23,464.7,,
24,484.9,,
25,495.0,565.7,
26,484.9,,
27,484.9,,
28,474.8,,
29,474.8,646.5,
30,495.0,565.7,
31,464.7,,
32,484.9,,
33,495.0,596.0,
34,484.9,,
35,474.8,626.3,
36,515.2,606.1,
37,484.9,,
38,484.9,,
39,464.7,626.3,
40,484.9,,
41,495.0,565.7,
42,474.8,,
43,474.8,,
44,474.8,,
45,484.9,,
46,495.0,,
47,495.0,565.7,
48,484.9,,
49,484.9,,
50,464.7,606.1,
51,495.0,545.5,
52,474.8,,
53,495.0,545.5,
