Sample Index,Peak 1_actual,Peak 2_actual,Peak 3_actual,Peak 1_predicted,Peak 2_predicted,Peak 3_predicted
15,414.2,545.5,737.4,484.9,,
1,434.40000000000003,,,484.9,555.6,
2,434.40000000000003,,,474.8,,
26,444.5,707.1,,484.9,,
35,444.5,525.3,,474.8,626.3,
34,444.5,555.6,,484.9,,
52,444.5,,,474.8,,
24,444.5,555.6,,484.9,,
22,444.5,535.4,,474.8,616.2,
39,444.5,606.1,,464.7,626.3,
19,444.5,636.4,,464.7,626.3,
38,444.5,535.4,,484.9,,
42,454.6,585.9,,474.8,,
28,454.6,565.7,,474.8,,
25,454.6,636.4,,495.0,565.7,
20,454.6,,,484.9,,
49,454.6,575.8,,484.9,,
11,454.6,,,484.9,,
13,454.6,,,464.7,616.2,
12,454.6,,,474.8,,
45,454.6,,,484.9,,
6,454.6,626.3,808.1,495.0,575.8,
16,454.6,,,464.7,,
7,464.7,,,474.8,,
41,464.7,,,495.0,565.7,
3,464.7,,,464.7,,
33,464.7,,,495.0,596.0,
31,464.7,,,464.7,,
43,464.7,555.6,,474.8,,
27,464.7,697.0,,484.9,,
48,464.7,,,484.9,,
23,464.7,,,464.7,,
44,474.8,596.0,,474.8,,
21,474.8,,,484.9,,
5,474.8,,,464.7,,
4,474.8,596.0,,495.0,,
9,474.8,848.5,,464.7,,
18,474.8,,,464.7,596.0,
46,484.9,596.0,747.5,495.0,,
0,484.9,,,484.9,,
36,484.9,,,515.2,606.1,
30,484.9,606.1,,495.0,565.7,
17,484.9,636.4,,495.0,555.6,
10,484.9,,,555.6,,
8,525.3,,,515.2,606.1,
47,585.9,727.3,,495.0,565.7,
51,585.9,818.2,,495.0,545.5,
50,596.0,,,464.7,606.1,
40,626.3,,,484.9,,
37,626.3,878.8,,484.9,,
32,636.4,888.9,,484.9,,
29,646.5,,,474.8,646.5,
14,656.6,,,464.7,626.3,
53,878.8,,,495.0,545.5,
