Sample Index,Peak 1,Peak 2,Peak 3
0,484.9,,
1,434.40000000000003,,
2,434.40000000000003,,
3,464.7,,
4,474.8,596.0,
5,474.8,,
6,454.6,626.3,808.1
7,464.7,,
8,525.3,,
9,474.8,848.5,
10,484.9,,
11,454.6,,
12,454.6,,
13,454.6,,
14,656.6,,
15,414.2,545.5,737.4
16,454.6,,
17,484.9,636.4,
18,474.8,,
19,444.5,636.4,
20,454.6,,
21,474.8,,
22,444.5,535.4,
23,464.7,,
24,444.5,555.6,
25,454.6,636.4,
26,444.5,707.1,
27,464.7,697.0,
28,454.6,565.7,
29,646.5,,
30,484.9,606.1,
31,464.7,,
32,636.4,888.9,
33,464.7,,
34,444.5,555.6,
35,444.5,525.3,
36,484.9,,
37,626.3,878.8,
38,444.5,535.4,
39,444.5,606.1,
40,626.3,,
41,464.7,,
42,454.6,585.9,
43,464.7,555.6,
44,474.8,596.0,
45,454.6,,
46,484.9,596.0,747.5
47,585.9,727.3,
48,464.7,,
49,454.6,575.8,
50,596.0,,
51,585.9,818.2,
52,444.5,,
53,878.8,,
