Actual_Peak,Predicted_Peak
484.9,464.7
434.40000000000003,606.1
434.40000000000003,464.7
464.7,525.3
474.8,636.4
596.0,454.6
474.8,525.3
454.6,646.5
626.3,474.8
808.1,515.2
464.7,454.6
525.3,525.3
474.8,515.2
848.5,454.6
484.9,535.4
454.6,505.1
454.6,565.7
454.6,474.8
656.6,525.3
414.2,444.5
545.5,585.9
737.4,505.1
454.6,464.7
484.9,646.5
636.4,495.0
474.8,505.1
444.5,565.7
636.4,737.4
454.6,464.7
474.8,515.2
444.5,616.2
535.4,737.4
464.7,484.9
444.5,495.0
555.6,606.1
454.6,464.7
636.4,505.1
444.5,495.0
707.1,474.8
464.7,454.6
697.0,575.8
454.6,505.1
565.7,505.1
646.5,727.3
484.9,505.1
606.1,454.6
464.7,575.8
636.4,495.0
888.9,464.7
464.7,474.8
444.5,525.3
555.6,525.3
444.5,606.1
525.3,454.6
484.9,575.8
626.3,495.0
878.8,545.5
444.5,515.2
535.4,585.9
444.5,454.6
606.1,545.5
626.3,484.9
464.7,616.2
454.6,515.2
585.9,505.1
464.7,454.6
555.6,575.8
474.8,444.5
596.0,585.9
454.6,464.7
484.9,596.0
596.0,484.9
747.5,505.1
585.9,585.9
727.3,717.2
464.7,505.1
454.6,444.5
575.8,545.5
596.0,474.8
585.9,565.7
818.2,505.1
444.5,515.2
878.8,616.2
,474.8
,585.9
,515.2
