Sample Index,Peak 1,Peak 2,Peak 3
0,464.7,606.1,
1,464.7,525.3,636.4
2,454.6,525.3,646.5
3,474.8,,
4,515.2,,
5,454.6,525.3,
6,515.2,,
7,454.6,535.4,
8,505.1,565.7,
9,474.8,,
10,525.3,,
11,444.5,585.9,
12,505.1,,
13,464.7,646.5,
14,495.0,,
15,505.1,565.7,737.4
16,464.7,,
17,515.2,616.2,737.4
18,484.9,,
19,495.0,606.1,
20,464.7,,
21,505.1,,
22,495.0,,
23,474.8,,
24,454.6,575.8,
25,505.1,,
26,505.1,727.3,
27,505.1,,
28,454.6,575.8,
29,495.0,,
30,464.7,,
31,474.8,,
32,525.3,,
33,525.3,606.1,
34,454.6,575.8,
35,495.0,,
36,545.5,,
37,515.2,585.9,
38,454.6,545.5,
39,484.9,616.2,
40,515.2,,
41,505.1,,
42,454.6,575.8,
43,444.5,585.9,
44,464.7,596.0,
45,484.9,,
46,505.1,585.9,717.2
47,505.1,,
48,444.5,545.5,
49,474.8,565.7,
50,505.1,,
51,515.2,616.2,
52,474.8,585.9,
53,515.2,,
