Sample Index,Peak 1_actual,Peak 2_actual,Peak 3_actual,Peak 1_predicted,Peak 2_predicted,Peak 3_predicted
15,414.2,545.5,737.4,505.1,565.7,737.4
1,434.40000000000003,,,464.7,525.3,636.4
2,434.40000000000003,,,454.6,525.3,646.5
26,444.5,707.1,,505.1,727.3,
35,444.5,525.3,,495.0,,
34,444.5,555.6,,454.6,575.8,
52,444.5,,,474.8,585.9,
24,444.5,555.6,,454.6,575.8,
22,444.5,535.4,,495.0,,
39,444.5,606.1,,484.9,616.2,
19,444.5,636.4,,495.0,606.1,
38,444.5,535.4,,454.6,545.5,
42,454.6,585.9,,454.6,575.8,
28,454.6,565.7,,454.6,575.8,
25,454.6,636.4,,505.1,,
20,454.6,,,464.7,,
49,454.6,575.8,,474.8,565.7,
11,454.6,,,444.5,585.9,
13,454.6,,,464.7,646.5,
12,454.6,,,505.1,,
45,454.6,,,484.9,,
6,454.6,626.3,808.1,515.2,,
16,454.6,,,464.7,,
7,464.7,,,454.6,535.4,
41,464.7,,,505.1,,
3,464.7,,,474.8,,
33,464.7,,,525.3,606.1,
31,464.7,,,474.8,,
43,464.7,555.6,,444.5,585.9,
27,464.7,697.0,,505.1,,
48,464.7,,,444.5,545.5,
23,464.7,,,474.8,,
44,474.8,596.0,,464.7,596.0,
21,474.8,,,505.1,,
5,474.8,,,454.6,525.3,
4,474.8,596.0,,515.2,,
9,474.8,848.5,,474.8,,
18,474.8,,,484.9,,
46,484.9,596.0,747.5,505.1,585.9,717.2
0,484.9,,,464.7,606.1,
36,484.9,,,545.5,,
30,484.9,606.1,,464.7,,
17,484.9,636.4,,515.2,616.2,737.4
10,484.9,,,525.3,,
8,525.3,,,505.1,565.7,
47,585.9,727.3,,505.1,,
51,585.9,818.2,,515.2,616.2,
50,596.0,,,505.1,,
40,626.3,,,515.2,,
37,626.3,878.8,,515.2,585.9,
32,636.4,888.9,,525.3,,
29,646.5,,,495.0,,
14,656.6,,,495.0,,
53,878.8,,,515.2,,
