Actual Wavelengths,Predicted Wavelengths
575.5486722407551,628.1104
563.2357159535104,576.4369
552.1882003404754,533.20416
480.8285145314334,470.58917
558.2422870681537,619.0501
517.8796160593799,570.096
496.91003110273726,516.4447
438.34312406435185,457.58334
520.7716623631878,612.27185
491.4657762841836,565.025
459.1061029507962,510.77136
432.327197044576,452.96063
558.5021808890314,628.3723
534.152745696776,578.57605
474.11215856882217,513.10944
465.01940426241794,455.5868
753.1005291822447,651.0308
717.7043943276791,593.4356
595.5882682549858,540.7598
471.386956858488,478.67563
579.4580149243694,629.5907
570.3064167873396,580.0627
509.617360517563,540.2381
474.26983647895366,476.17987
807.2637375769092,668.38715
660.4987789000014,604.12836
614.3881041443576,554.10376
458.0317942493817,491.2453
527.6626860286387,630.5315
522.1136152796408,579.1541
461.8948823953812,507.6933
457.9227390710761,451.23138
562.1902011710922,632.66833
538.0679709738802,580.56586
525.095211952674,507.20978
471.46041520475393,451.75082
846.2989795017129,628.2703
519.3340435775315,578.66284
476.0801284568726,506.0611
472.4757093430973,449.91565
579.5766879867067,670.64764
514.568213188165,606.05725
503.4052784630531,548.73376
479.76497042240504,487.51257
633.7378824024624,626.16693
539.8244226081974,576.3015
535.1941030202516,514.59827
459.2618719271435,456.51404
510.1714411665308,678.6777
504.062559665145,612.5737
489.361788908185,565.0817
450.1084735005105,499.313
618.195107495944,627.1708
588.2131356102992,576.8727
514.4387101205367,511.98053
456.5515428264905,454.90656
810.2016234377421,681.88214
743.825298279839,614.4254
656.114776468272,569.49084
605.537227430502,502.03198
734.7944791925964,640.71454
547.5685472748764,586.2937
541.7917029056425,548.01245
410.2175269194429,482.4842
573.7943117669732,632.64075
565.8129079900003,582.9109
517.0931507506743,533.21356
458.7169576715217,470.1782
664.6014143673349,645.7969
619.3985689213596,590.1343
518.9311182718285,537.16144
476.479471533738,475.7338
622.3418691115698,642.82227
561.8216819589815,587.5947
472.2113819267588,520.29736
468.41237311769976,461.72626
680.3067441056282,677.05817
636.8202661301145,610.6953
494.8083296652253,559.11414
447.2748230458219,494.40875
539.2630035181747,677.36664
538.9591736445121,611.42474
494.0468783190701,560.2954
453.0898359519887,496.014
596.2905675905635,631.2732
551.6301017650296,581.0375
532.3922616410109,523.20874
469.7482625469141,462.84708
633.0855537735334,679.1276
626.1386646949923,612.30743
541.5995896549817,570.61096
444.47380938997776,502.72833
528.8204891980407,631.58777
510.3625384901165,580.77344
494.3328986406138,519.43567
463.91949640449496,460.678
567.4867090590797,598.6132
565.9883438292702,555.15076
558.1085340311523,508.36786
448.4493169352268,450.63126
698.7827201066591,685.92444
686.5595905806545,617.69
614.797560251236,569.50134
450.8886448973554,502.5053
702.530986930159,642.6954
563.8065338640872,588.0519
530.0139019122432,550.5829
444.08127459114854,484.13336
700.627275495785,609.859
595.4174258764446,566.01697
533.6610553738483,532.9243
467.97946618439687,471.01193
602.6943258880774,604.75037
572.8205117183716,559.2957
555.0587327575885,513.29895
454.3658736081916,454.03345
704.6186162201132,673.61804
651.4513226105233,608.2269
636.8467915059942,561.32874
543.4121991432592,495.7431
645.2571534489554,611.67017
598.0329385295252,564.3343
561.5930909347676,516.53564
486.5123406637388,456.5873
568.7176027949133,628.99567
549.059168386686,580.0394
509.63069908218574,534.95557
462.3016362354688,472.2406
897.7859053342904,672.79535
703.6850127063283,607.58905
628.7890620664117,553.22375
617.50121530202,491.35678
551.7446645653912,626.8791
520.0542634927892,576.45026
464.21164970724425,511.54626
448.8864072957066,454.0451
572.3824839989642,602.3522
567.2599832537726,557.53754
544.9593648872828,509.97443
447.5078756284887,451.60632
599.9067437901979,683.3815
579.622843559374,615.152
530.752631532557,575.61865
446.8294265717018,507.17847
521.0028349635531,635.9752
492.8694151072838,583.5308
485.92581181990687,526.0185
477.4816921343061,465.65274
883.9137013393809,638.57904
670.2198203880475,584.48517
628.251506204233,526.0453
607.0226160146337,466.1659
544.0097046304677,635.26685
525.0187914938344,582.52686
521.1114652109535,511.24866
446.1343339094556,453.92212
642.2036243588196,687.9665
602.296448424304,619.3553
483.4807214393936,575.10913
440.3836981097085,506.2331
831.5215709029452,634.4305
702.8279199121653,584.07556
627.3304389588875,526.6009
620.4448021319861,464.9889
598.641817832653,628.5811
581.2496063907054,578.7642
552.9567277269363,539.5025
465.736931290636,475.79352
613.3467403349949,602.1085
574.3866705839907,557.1974
568.2488278768235,507.2251
453.97680327833547,449.3426
586.826733870532,625.9514
558.5088216848934,575.95435
534.5227198449309,520.3853
461.4655668837807,461.02554
617.8885202787397,667.8864
582.2590726071375,605.19446
525.2228710201773,558.06104
474.0915867474108,493.85947
487.3007546155335,646.2756
452.6130496607777,589.79034
450.5819555706401,536.8336
420.47223918502647,475.68518
747.8713425682434,654.6994
603.1552420896735,596.16907
595.564757016147,558.82904
485.2427962802294,492.12048
808.9820195810361,687.6672
737.6270040010118,618.5579
718.5840110078352,570.3507
587.0235374380363,503.99274
492.34848299947487,627.51056
490.1861035177276,577.3008
461.0671408438447,516.77686
433.9821062432427,458.21265
580.214669021434,624.38416
574.4152741961453,574.0883
563.985055817266,526.7648
457.8968754331682,465.52692
602.8558096941915,614.0569
537.8163313736185,566.4699
529.7152287926846,512.5219
497.8348305978821,454.6759
816.8647005799231,642.55457
642.6166556645695,586.8513
581.5734571327612,541.1166
577.9376358918604,477.46252
474.5193247730624,614.83887
456.7290686956979,567.30084
450.0867751540775,516.3739
437.6664699192188,457.01517
880.4209657324252,661.8408
723.639895856916,601.0045
722.9494731819235,558.733
632.392256729312,494.3374
