Sample Index,Peak 1,Peak 2,Peak 3
0,474.8,,
1,464.7,565.7,
2,454.6,575.8,
3,464.7,596.0,
4,484.9,,
5,474.8,,
6,495.0,,
7,454.6,606.1,
8,454.6,606.1,
9,454.6,606.1,
10,495.0,,
11,464.7,585.9,
12,505.1,,
13,464.7,596.0,
14,505.1,,
15,484.9,,
16,474.8,,
17,474.8,,
18,464.7,606.1,
19,495.0,,
20,495.0,,
21,464.7,,
22,505.1,,
23,464.7,,
24,454.6,555.6,
25,505.1,,
26,484.9,,
27,474.8,,
28,454.6,555.6,
29,495.0,,
30,454.6,555.6,
31,474.8,,
32,495.0,,
33,454.6,596.0,
34,454.6,555.6,
35,505.1,,
36,464.7,,
37,474.8,,
38,464.7,606.1,
39,505.1,,
40,464.7,,
41,474.8,,
42,454.6,565.7,
43,464.7,,
44,495.0,,
45,474.8,,
46,495.0,,
47,505.1,,
48,464.7,585.9,
49,464.7,,
50,454.6,575.8,
51,474.8,,
52,464.7,,
53,495.0,,
